Game ID,Home Team,Away Team,Date,Time
d097f1f1-9bbb-48e6-a8cb-98968248ceda,Detroit Pistons,Portland Trail Blazers,2023-11-01,19:00
02bf9c0d-203d-4eca-87ca-8cc5d7845c7e,Oklahoma City Thunder,New Orleans Pelicans,2023-11-01,19:30
0b9e93bf-ef93-4215-861a-aaba45ba386d,Boston Celtics,Indiana Pacers,2023-11-01,19:30
15edd71e-4a4a-4a2d-ad15-70d765b5a883,New York Knicks,Cleveland Cavaliers,2023-11-01,19:30
7454d53d-238e-441b-a5d5-c4e3d839b428,Miami Heat,Brooklyn Nets,2023-11-01,19:30
e777aa02-2301-4014-a20e-d414e99a5d89,Atlanta Hawks,Washington Wizards,2023-11-01,19:30
268894c3-8379-4fef-b688-ddc345733e23,Minnesota Timberwolves,Denver Nuggets,2023-11-01,20:00
5e8290a5-27b8-462d-b5b4-aaf9a00cbf15,Houston Rockets,Charlotte Hornets,2023-11-01,20:00
9ff9dd2b-3adc-438d-a7f7-1c151313246e,Dallas Mavericks,Chicago Bulls,2023-11-01,20:30
581b7985-0d76-4866-91ad-21a1001e116b,Utah Jazz,Memphis Grizzlies,2023-11-01,21:00
602e90bb-dfaf-46ad-8e26-cb7c5994f0ee,Los Angeles Lakers,LA Clippers,2023-11-01,22:00
d247fda6-a60a-4a3c-8ad3-fd045331f2ef,Golden State Warriors,Sacramento Kings,2023-11-01,22:00
1c55aa65-8407-44e8-a293-9b3cecfcc7e5,Philadelphia 76ers,Toronto Raptors,2023-11-02,19:00
902226d2-45ce-4e7c-a462-36569d63c362,New Orleans Pelicans,Detroit Pistons,2023-11-02,20:00
6f78e94d-ef66-4a1f-aa13-bbec00557b39,Utah Jazz,Orlando Magic,2023-11-02,21:00
f9f4b8f6-42fd-448a-a757-c3224c5201a1,Phoenix Suns,San Antonio Spurs,2023-11-02,22:00
c9b8e935-bd7a-46e5-9ec6-61c457893ef8,Indiana Pacers,Cleveland Cavaliers,2023-11-03,19:00
b32a1205-fe65-4cc2-88d4-0b0f60034de2,Milwaukee Bucks,New York Knicks,2023-11-03,19:30
224079f1-6cf8-40a9-8614-de8d42ebaff1,Oklahoma City Thunder,Golden State Warriors,2023-11-03,20:00
5128ddc3-156a-4b7b-b821-e6b602b026e1,Miami Heat,Washington Wizards,2023-11-03,20:00
76e7fef6-0f1c-4c23-97ad-46240edeb55e,Chicago Bulls,Brooklyn Nets,2023-11-03,20:00
3d236c19-f43f-43db-bf90-61d760259a6e,Portland Trail Blazers,Memphis Grizzlies,2023-11-03,22:00
70aae44e-f000-4f39-aedd-2db8266be0a3,Denver Nuggets,Dallas Mavericks,2023-11-03,22:00
e3f03f7e-6162-40bf-b911-ed383cf02a18,Philadelphia 76ers,Phoenix Suns,2023-11-04,13:00
4874e5e4-b339-4b1a-99e8-a5ab90299d4a,Indiana Pacers,Charlotte Hornets,2023-11-04,19:00
556c90ed-fd59-4988-9883-b05c14d76c4a,New Orleans Pelicans,Atlanta Hawks,2023-11-04,19:00
72f8fad8-affc-46d3-9833-33f63eeddb74,Orlando Magic,Los Angeles Lakers,2023-11-04,19:00
8ba73c49-f25e-496d-975d-7e4ffe0cedad,Brooklyn Nets,Boston Celtics,2023-11-04,20:00
b96d4552-f8bf-472f-8809-1068e0327d34,Houston Rockets,Sacramento Kings,2023-11-04,20:00
c43d1205-5573-4a9e-8637-8ec37af1961f,Minnesota Timberwolves,Utah Jazz,2023-11-04,20:00
55bae865-07d4-425d-8590-60bde0ccec0f,Denver Nuggets,Chicago Bulls,2023-11-04,21:00
22fc9363-eb55-4c82-8964-7bd2d0164a9d,Detroit Pistons,Phoenix Suns,2023-11-05,16:00
c1b17d62-faf5-45e3-81fc-01d66b254586,San Antonio Spurs,Toronto Raptors,2023-11-05,16:30
1ad3ce51-495c-416b-8b46-b9ecdd0b3211,Cleveland Cavaliers,Golden State Warriors,2023-11-05,19:00
4bfae812-bea6-4aa1-855e-7f3813f84515,Dallas Mavericks,Charlotte Hornets,2023-11-05,20:30
6b3d2224-5e98-4170-9fd2-4c309b896dbf,Portland Trail Blazers,Memphis Grizzlies,2023-11-05,22:00
441261b3-5dcc-4e2c-b4ad-6413a659af2c,Philadelphia 76ers,Washington Wizards,2023-11-06,20:00
685093fd-b0d9-4cb6-9ecf-5534c7c9bbe4,Orlando Magic,Dallas Mavericks,2023-11-06,20:00
