Team ID,Team Name
583ec8d4-fb46-11e1-82cb-f4ce4684ea4c,Washington Wizards
583ec97e-fb46-11e1-82cb-f4ce4684ea4c,Charlotte Hornets
583ecb8f-fb46-11e1-82cb-f4ce4684ea4c,Atlanta Hawks
583ecea6-fb46-11e1-82cb-f4ce4684ea4c,Miami Heat
583ed157-fb46-11e1-82cb-f4ce4684ea4c,Orlando Magic
583ec70e-fb46-11e1-82cb-f4ce4684ea4c,New York Knicks
583ec87d-fb46-11e1-82cb-f4ce4684ea4c,Philadelphia 76ers
583ec9d6-fb46-11e1-82cb-f4ce4684ea4c,Brooklyn Nets
583eccfa-fb46-11e1-82cb-f4ce4684ea4c,Boston Celtics
583ecda6-fb46-11e1-82cb-f4ce4684ea4c,Toronto Raptors
583ec5fd-fb46-11e1-82cb-f4ce4684ea4c,Chicago Bulls
583ec773-fb46-11e1-82cb-f4ce4684ea4c,Cleveland Cavaliers
583ec7cd-fb46-11e1-82cb-f4ce4684ea4c,Indiana Pacers
583ec928-fb46-11e1-82cb-f4ce4684ea4c,Detroit Pistons
583ecefd-fb46-11e1-82cb-f4ce4684ea4c,Milwaukee Bucks
583eca2f-fb46-11e1-82cb-f4ce4684ea4c,Minnesota Timberwolves
583ece50-fb46-11e1-82cb-f4ce4684ea4c,Utah Jazz
583ecfff-fb46-11e1-82cb-f4ce4684ea4c,Oklahoma City Thunder
583ed056-fb46-11e1-82cb-f4ce4684ea4c,Portland Trail Blazers
583ed102-fb46-11e1-82cb-f4ce4684ea4c,Denver Nuggets
583eca88-fb46-11e1-82cb-f4ce4684ea4c,Memphis Grizzlies
583ecb3a-fb46-11e1-82cb-f4ce4684ea4c,Houston Rockets
583ecc9a-fb46-11e1-82cb-f4ce4684ea4c,New Orleans Pelicans
583ecd4f-fb46-11e1-82cb-f4ce4684ea4c,San Antonio Spurs
583ecf50-fb46-11e1-82cb-f4ce4684ea4c,Dallas Mavericks
583ec825-fb46-11e1-82cb-f4ce4684ea4c,Golden State Warriors
583ecae2-fb46-11e1-82cb-f4ce4684ea4c,Los Angeles Lakers
583ecdfb-fb46-11e1-82cb-f4ce4684ea4c,LA Clippers
583ecfa8-fb46-11e1-82cb-f4ce4684ea4c,Phoenix Suns
583ed0ac-fb46-11e1-82cb-f4ce4684ea4c,Sacramento Kings
